date,tournament,opponent,scored,conceded,is_home,neutral,city,country
2010-11-17,Friendly,Ivory Coast,3,1,True,False,Poznań,Poland
2010-12-10,Friendly,Bosnia and Herzegovina,2,2,False,True,Antalya,Turkey
2011-02-06,Friendly,Moldova,1,0,False,True,Vila Real de Santo António,Portugal
2011-02-09,Friendly,Norway,1,0,False,True,Faro,Portugal
2011-03-25,Friendly,Lithuania,0,2,False,False,Kaunas,Lithuania
2011-03-29,Friendly,Greece,0,0,False,False,Piraeus,Greece
2011-06-05,Friendly,Argentina,2,1,True,False,Warsaw,Poland
2011-06-09,Friendly,France,0,1,True,False,Warsaw,Poland
2011-08-10,Friendly,Georgia,1,0,True,False,Lubin,Poland
2011-09-02,Friendly,Mexico,1,1,True,False,Warsaw,Poland
2011-09-06,Friendly,Germany,2,2,True,False,Gdańsk,Poland
2011-10-07,Friendly,South Korea,2,2,False,False,Seoul,South Korea
2011-10-11,Friendly,Belarus,2,0,False,True,Wiesbaden,Germany
2011-11-11,Friendly,Italy,0,2,True,False,Wrocław,Poland
2011-11-15,Friendly,Hungary,2,1,True,False,Poznań,Poland
2012-02-29,Friendly,Portugal,0,0,True,False,Warsaw,Poland
2012-05-22,Friendly,Latvia,1,0,False,True,Klagenfurt,Austria
2012-05-26,Friendly,Slovakia,1,0,False,True,Klagenfurt,Austria
2012-06-02,Friendly,Andorra,4,0,True,False,Warsaw,Poland
2012-06-08,UEFA Euro,Greece,1,1,True,False,Warsaw,Poland
2012-06-12,UEFA Euro,Russia,1,1,True,False,Warsaw,Poland
2012-06-16,UEFA Euro,Czech Republic,0,1,True,False,Wrocław,Poland
2012-08-15,Friendly,Estonia,0,1,False,False,Tallinn,Estonia
2012-09-07,FIFA World Cup qualification,Montenegro,2,2,False,False,Podgorica,Montenegro
2012-09-11,FIFA World Cup qualification,Moldova,2,0,True,False,Wrocław,Poland
2012-10-12,Friendly,South Africa,1,0,True,False,Warsaw,Poland
2012-10-17,FIFA World Cup qualification,England,1,1,True,False,Warsaw,Poland
2012-11-14,Friendly,Uruguay,1,3,True,False,Gdańsk,Poland
2012-12-14,Friendly,North Macedonia,4,1,False,True,Antalya,Turkey
2013-02-02,Friendly,Romania,4,1,False,True,Málaga,Spain
2013-02-06,Friendly,Republic of Ireland,0,2,False,False,Dublin,Republic of Ireland
2013-03-22,FIFA World Cup qualification,Ukraine,1,3,True,False,Warsaw,Poland
2013-03-26,FIFA World Cup qualification,San Marino,5,0,True,False,Warsaw,Poland
2013-06-04,Friendly,Liechtenstein,2,0,True,False,Cracow,Poland
2013-06-07,FIFA World Cup qualification,Moldova,1,1,False,False,Chişinău,Moldova
2013-08-14,Friendly,Denmark,3,2,True,False,Gdańsk,Poland
2013-09-06,FIFA World Cup qualification,Montenegro,1,1,True,False,Warsaw,Poland
2013-09-10,FIFA World Cup qualification,San Marino,5,1,False,False,Serravalle,San Marino
2013-10-11,FIFA World Cup qualification,Ukraine,0,1,False,False,Kharkiv,Ukraine
2013-10-15,FIFA World Cup qualification,England,0,2,False,False,London,England
2013-11-15,Friendly,Slovakia,0,2,True,False,Wrocław,Poland
