"Item","TotalFat"
"Iced Tea (Medium)","0,0"
"Iced Tea (Large)","0,0"
"Iced Tea (Child)","0,0"
"Sweet Tea (Small)","0,0"
"Sweet Tea (Medium)","0,0"
"Sweet Tea (Large)","0,0"
"Sweet Tea (Child)","0,0"
"Coffee (Small)","0,0"
"Coffee (Medium)","0,0"
"Coffee (Large)","0,0"
"Latte (Small)","9,0"
"Latte (Medium)","10,0"
"Latte (Large)","14,0"
"Caramel Latte (Small)","9,0"
"Caramel Latte (Medium)","10,0"
"Caramel Latte (Large)","14,0"
"Hazelnut Latte (Small)","9,0"
"Hazelnut Latte (Medium)","10,0"
"Hazelnut Latte (Large)","14,0"
"French Vanilla Latte (Small)","9,0"
"French Vanilla Latte (Medium)","10,0"
"French Vanilla Latte (Large)","14,0"
"Latte with Sugar Free French Vanilla Syrup (Small)","9,0"
"Latte with Sugar Free French Vanilla Syrup (Medium)","10,0"
"Latte with Sugar Free French Vanilla Syrup (Large)","14,0"
"Nonfat Latte (Small)","0,0"
"Nonfat Latte (Medium)","0,0"
"Nonfat Latte (Large)","0,5"
"Nonfat Caramel Latte (Small)","0,0"
"Nonfat Caramel Latte (Medium)","0,0"
"Nonfat Caramel Latte (Large)","0,5"
"Nonfat Hazelnut Latte (Small)","0,0"
"Nonfat Hazelnut Latte (Medium)","0,0"
"Nonfat Hazelnut Latte (Large)","0,5"
"Nonfat French Vanilla Latte (Small)","0,0"
"Nonfat French Vanilla Latte (Medium)","0,0"
"Nonfat French Vanilla Latte (Large)","0,5"
"Nonfat Latte with Sugar Free French Vanilla Syrup (Small)","0,0"
"Nonfat Latte with Sugar Free French Vanilla Syrup (Medium)","0,0"
"Nonfat Latte with Sugar Free French Vanilla Syrup (Large)","0,5"
"Mocha (Small)","11,0"
"Mocha (Medium)","14,0"
"Mocha (Large)","17,0"
"Mocha with Nonfat Milk (Small)","3,5"
"Mocha with Nonfat Milk (Medium)","3,5"
"Mocha with Nonfat Milk (Large)","4,0"
"Caramel Mocha (Small)","11,0"
"Caramel Mocha (Medium)","14,0"
"Caramel Mocha (Large)","17,0"
"Nonfat Caramel Mocha (Small)","3,5"
"Nonfat Caramel Mocha (Medium)","3,5"
"Nonfat Caramel Mocha (Large)","3,5"
"Hot Chocolate (Small)","13,0"
"Hot Chocolate (Medium)","16,0"
"Hot Chocolate (Large)","20,0"
"Hot Chocolate with Nonfat Milk (Small)","3,5"
"Hot Chocolate with Nonfat Milk (Medium)","3,5"
"Hot Chocolate with Nonfat Milk (Large)","3,5"
"Regular Iced Coffee (Small)","4,5"
"Regular Iced Coffee (Medium)","7,0"
"Regular Iced Coffee (Large)","9,0"
"Caramel Iced Coffee (Small)","4,5"
"Caramel Iced Coffee (Medium)","7,0"
"Caramel Iced Coffee (Large)","9,0"
"Hazelnut Iced Coffee (Small)","4,5"
"Hazelnut Iced Coffee (Medium)","7,0"
"Hazelnut Iced Coffee (Large)","9,0"
"French Vanilla Iced Coffee (Small)","4,5"
"French Vanilla Iced Coffee (Medium)","7,0"
"French Vanilla Iced Coffee (Large)","9,0"
"Iced Coffee with Sugar Free French Vanilla Syrup (Small)","4,5"
"Iced Coffee with Sugar Free French Vanilla Syrup (Medium)","7,0"
"Iced Coffee with Sugar Free French Vanilla Syrup (Large)","9,0"
"Iced Mocha (Small)","11,0"
"Iced Mocha (Medium)","13,0"
"Iced Mocha (Large)","16,0"
"Iced Mocha with Nonfat Milk (Small)","5,0"
"Iced Mocha with Nonfat Milk (Medium)","5,0"
"Iced Mocha with Nonfat Milk (Large)","6,0"
"Iced Caramel Mocha (Small)","11,0"
"Iced Caramel Mocha (Medium)","13,0"
"Iced Caramel Mocha (Large)","16,0"
"Iced Nonfat Caramel Mocha (Small)","5,0"
"Iced Nonfat Caramel Mocha (Medium)","5,0"
"Iced Nonfat Caramel Mocha (Large)","6,0"
"Frappé Mocha (Small)","18,0"
"Frappé Mocha (Medium)","22,0"
"Frappé Mocha (Large)","26,0"
"Frappé Caramel (Small)","19,0"
"Frappé Caramel (Medium)","23,0"
"Frappé Caramel (Large)","27,0"
"Frappé Chocolate Chip (Small)","23,0"
"Frappé Chocolate Chip (Medium)","26,0"
"Frappé Chocolate Chip (Large)","31,0"
"Blueberry Pomegranate Smoothie (Small)","0,5"
"Blueberry Pomegranate Smoothie (Medium)","1,0"
"Blueberry Pomegranate Smoothie (Large)","1,0"
"Strawberry Banana Smoothie (Small)","0,5"
"Strawberry Banana Smoothie (Medium)","1,0"
"Strawberry Banana Smoothie (Large)","1,0"
"Mango Pineapple Smoothie (Small)","0,5"
"Mango Pineapple Smoothie (Medium)","1,0"
"Mango Pineapple Smoothie (Large)","1,0"
"Vanilla Shake (Small)","15,0"
"Vanilla Shake (Medium)","19,0"
"Vanilla Shake (Large)","23,0"
"Strawberry Shake (Small)","16,0"
"Strawberry Shake (Medium)","20,0"
"Strawberry Shake (Large)","24,0"
"Chocolate Shake (Small)","16,0"
"Chocolate Shake (Medium)","20,0"
"Chocolate Shake (Large)","23,0"
"Shamrock Shake (Medium)","19,0"
"Shamrock Shake (Large)","23,0"
"McFlurry with M&M’s Candies (Small)","23,0"
"McFlurry with M&M’s Candies (Medium)","33,0"
"McFlurry with M&M’s Candies (Snack)","15,0"
"McFlurry with Oreo Cookies (Small)","17,0"
"McFlurry with Oreo Cookies (Medium)","23,0"
"McFlurry with Oreo Cookies (Snack)","11,0"
"McFlurry with Reese's Peanut Butter Cups (Medium)","32,0"
"McFlurry with Reese's Peanut Butter Cups (Snack)","16,0"
